listing_id,suburb,postcode,lat,lon,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,scraped_date,photo_count,video_count,floorplans_count,virtual_tour,property_type,primary_type,secondary_type,available_date_clean,available_weekday,bond_imputed,carspaces_imputed,sa2_code_2021,sa2_name_2021,in_victoria,straight_km_to_cbd,route_km_to_cbd,route_min_to_cbd,straight_km_to_nearest_station,est_route_km_to_nearest_station,nearest_station_name,n_stations_within_1km,n_stations_within_2km,straight_km_to_nearest_school,nearest_school_name,n_schools_within_1km,n_schools_within_2km,straight_km_to_nearest_park,straight_km_to_nearest_named_park,nearest_named_park,n_parks_within_500m,n_parks_within_1km,straight_km_to_nearest_mall,nearest_mall_name,sa3_name,sa4_name,gcc_name,area_sqkm,population_2021,population_2026,population_2031,population_2036,households_2026,households_2036,dwellings_2026,dwellings_2036,population_growth_5y,population_growth_10y,household_growth_10y,dwelling_growth_10y,demand_supply_gap_10y,occupancy_ratio_2026,avg_household_size_2026,is_residential,is_analysable,earners,median_age_earners,income_median,income_mean,income_growth_5y,income_skew_ratio,income_reliable,population_density_2026,is_modelling_ready,n_schools,n_primary_schools,n_secondary_schools,n_government_schools,n_stations,n_stations_both_networks
17735543,SOUTHBANK,3006,-37.82969,144.96582,1100.0,6600.0,"Monday, 01 September 2025",2025-08-27,12.0,3.0,2.0,1.0,2025-09-09 06:53:54,14.0,0.0,2.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-09-01,Monday,0,0,206041509,Southbank - East,True,1.269217940361893,1.84231,3.8401666666666667,0.733527786009319,1.1273085170999626,Anzac Railway Station,1,4,0.186560053485107,Victorian College Of The Arts Secondary School,3,11,0.09109849818002942,0.09109849818002942,Sturt Street Reserve,7,35,0.7520159938859993,South Melbourne Central,Melbourne City,Melbourne - Inner,Greater Melbourne,0.804,16506.0,21061.41559343084,23888.780132861495,26146.223089919582,12192.6,15489.599999999999,14515.0,18440.0,0.13424380364596789,0.2414276226558445,0.2704099207716155,0.2704099207716155,0.0,0.8400000000000001,1.7273933035965126,True,True,16279.0,31.0,60608.0,73578.0,0.2930534220856802,1.213998152059134,True,26195.790539093083,True,1,0,1,1,0,0
17741624,SOUTHBANK,3006,-37.827072,144.95757,660.0,2390.0,"Monday, 15 September 2025",2025-09-01,8.0,1.0,1.0,1.0,2025-09-09 06:53:54,8.0,0.0,0.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-09-15,Monday,0,0,206041508,Southbank (West) - South Wharf,True,1.2852855036983724,2.1535100000000003,5.375166666666667,1.0242925845968966,1.5741649827614652,Southern Cross Railway Station,0,6,0.4385376114559047,South Melbourne Primary School,3,12,0.356405004013058,0.356405004013058,Boyd Community Park,4,33,0.4092367537794798,South Melbourne Central,Melbourne City,Melbourne - Inner,Greater Melbourne,0.8496,6607.0,9393.206258487895,11473.126308433386,13288.111389891332,5304.599999999999,7830.48,6315.0,9322.0,0.2214281250415462,0.4146512941610241,0.4761678543151229,0.47616785431512265,2.220446049250313e-16,0.84,1.7707661762409788,True,True,6230.0,33.0,63173.0,91019.0,0.2328604047540055,1.44078957782597,True,11056.033731741873,True,0,0,0,0,0,0
17743209,SOUTHBANK,3006,-37.825962,144.95694,700.0,2390.0,"Thursday, 21 August 2025",2025-09-02,7.0,2.0,2.0,1.0,2025-09-09 06:53:54,14.0,0.0,0.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-08-21,Thursday,0,0,206041508,Southbank (West) - South Wharf,True,1.2342610958745726,2.01536,5.327333333333333,0.8891813933633796,1.3665218647526671,Southern Cross Railway Station,1,7,0.4828323648231083,South Melbourne Primary School,3,12,0.27866226700430174,0.27866226700430174,Polly Woodside Park,4,31,0.5335460456804108,South Melbourne Central,Melbourne City,Melbourne - Inner,Greater Melbourne,0.8496,6607.0,9393.206258487895,11473.126308433386,13288.111389891332,5304.599999999999,7830.48,6315.0,9322.0,0.2214281250415462,0.4146512941610241,0.4761678543151229,0.47616785431512265,2.220446049250313e-16,0.84,1.7707661762409788,True,True,6230.0,33.0,63173.0,91019.0,0.2328604047540055,1.44078957782597,True,11056.033731741873,True,0,0,0,0,0,0
17743578,SOUTHBANK,3006,-37.83003,144.96957,500.0,2173.0,"Wednesday, 01 October 2025",2025-09-02,7.0,1.0,1.0,1.0,2025-09-09 06:53:54,14.0,0.0,0.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-10-01,Wednesday,0,0,206041509,Southbank - East,True,1.3199778838397527,1.46807,3.0003333333333333,0.4615107215901938,0.7092641575474898,Anzac Railway Station,1,6,0.4674183065590624,Victorian College Of The Arts Secondary School,4,13,0.2388758679043497,0.2388758679043497,Miles and Dodds Reserve,8,30,1.0757962298187167,South Melbourne Central,Melbourne City,Melbourne - Inner,Greater Melbourne,0.804,16506.0,21061.41559343084,23888.780132861495,26146.223089919582,12192.6,15489.599999999999,14515.0,18440.0,0.13424380364596789,0.2414276226558445,0.2704099207716155,0.2704099207716155,0.0,0.8400000000000001,1.7273933035965126,True,True,16279.0,31.0,60608.0,73578.0,0.2930534220856802,1.213998152059134,True,26195.790539093083,True,1,0,1,1,0,0
17745845,SOUTHBANK,3006,-37.826687,144.95584,680.0,2390.0,"Saturday, 12 September 2026",2025-09-03,6.0,2.0,1.0,1.0,2025-09-09 06:53:54,5.0,0.0,0.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2026-09-12,Saturday,0,0,206041508,Southbank (West) - South Wharf,True,1.359919188029475,2.1415100000000002,5.831833333333334,0.9305300068821369,1.430067711384546,Southern Cross Railway Station,1,6,0.36028212255754505,South Melbourne Primary School,3,11,0.2934961628828888,0.2934961628828888,Polly Woodside Park,3,22,0.4716557285980485,South Melbourne Central,Melbourne City,Melbourne - Inner,Greater Melbourne,0.8496,6607.0,9393.206258487895,11473.126308433386,13288.111389891332,5304.599999999999,7830.48,6315.0,9322.0,0.2214281250415462,0.4146512941610241,0.4761678543151229,0.47616785431512265,2.220446049250313e-16,0.84,1.7707661762409788,True,True,6230.0,33.0,63173.0,91019.0,0.2328604047540055,1.44078957782597,True,11056.033731741873,True,0,0,0,0,0,0
17748074,SOUTHBANK,3006,-37.82564,144.96223,720.0,2390.0,"Friday, 26 September 2025",2025-09-04,4.0,2.0,2.0,1.0,2025-09-09 06:53:54,9.0,0.0,1.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-09-26,Friday,0,0,206041509,Southbank - East,True,0.9206300914711402,1.4256900000000001,3.9426666666666668,0.9146218750486536,1.4056195952407804,Flinders Street Railway Station,1,8,0.36420339542713603,Victorian College Of The Arts Secondary School,2,12,0.08491706946851241,0.08491706946851241,Boyd Community Park,9,35,0.6910261366138599,Southgate,Melbourne City,Melbourne - Inner,Greater Melbourne,0.804,16506.0,21061.41559343084,23888.780132861495,26146.223089919582,12192.6,15489.599999999999,14515.0,18440.0,0.13424380364596789,0.2414276226558445,0.2704099207716155,0.2704099207716155,0.0,0.8400000000000001,1.7273933035965126,True,True,16279.0,31.0,60608.0,73578.0,0.2930534220856802,1.213998152059134,True,26195.790539093083,True,1,0,1,1,0,0
17748657,SOUTHBANK,3006,-37.822334,144.9653,630.0,2390.0,"Friday, 10 October 2025",2025-09-05,4.0,1.0,1.0,1.0,2025-09-09 06:53:54,19.0,0.0,0.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-10-10,Friday,0,1,206041509,Southbank - East,True,0.47496435978536405,1.23449,3.443166666666667,0.47057262138468053,0.7231907694826804,Flinders Street Railway Station,2,9,0.6560739492658741,Victorian College Of The Arts Secondary School,1,10,0.07984022736929185,0.3785264149971732,Linear Park,19,41,0.24423674810506332,Southgate,Melbourne City,Melbourne - Inner,Greater Melbourne,0.804,16506.0,21061.41559343084,23888.780132861495,26146.223089919582,12192.6,15489.599999999999,14515.0,18440.0,0.13424380364596789,0.2414276226558445,0.2704099207716155,0.2704099207716155,0.0,0.8400000000000001,1.7273933035965126,True,True,16279.0,31.0,60608.0,73578.0,0.2930534220856802,1.213998152059134,True,26195.790539093083,True,1,0,1,1,0,0
17621360,SOUTHBANK,3006,-37.82571,144.96338,740.0,2960.0,"Friday, 15 August 2025",2025-06-15,85.0,2.0,2.0,1.0,2025-09-09 06:53:58,22.0,0.0,1.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-08-15,Friday,0,1,206041509,Southbank - East,True,0.8852703054694437,1.57375,4.487666666666667,0.8803900223026813,1.353011009863817,Flinders Street Railway Station,1,8,0.30530001952356633,Victorian College Of The Arts Secondary School,2,12,0.04037885301338694,0.1845747011116658,Boyd Community Park,16,37,0.6541154326795332,Southgate,Melbourne City,Melbourne - Inner,Greater Melbourne,0.804,16506.0,21061.41559343084,23888.780132861495,26146.223089919582,12192.6,15489.599999999999,14515.0,18440.0,0.13424380364596789,0.2414276226558445,0.2704099207716155,0.2704099207716155,0.0,0.8400000000000001,1.7273933035965126,True,True,16279.0,31.0,60608.0,73578.0,0.2930534220856802,1.213998152059134,True,26195.790539093083,True,1,0,1,1,0,0
17659568,SOUTHBANK,3006,-37.825733,144.95967,600.0,2608.0,"Friday, 25 July 2025",2025-07-08,62.0,2.0,1.0,1.0,2025-09-09 06:53:58,9.0,0.0,1.0,True,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-07-25,Friday,0,1,206041508,Southbank (West) - South Wharf,True,1.052887686798721,1.96201,5.332833333333334,0.9920049765314239,1.5245443736131563,Southern Cross Railway Station,1,8,0.5276431963969322,Victorian College Of The Arts Secondary School,2,12,0.1425038276758443,0.1425038276758443,Boyd Community Park,4,34,0.5927369411542864,South Melbourne Central,Melbourne City,Melbourne - Inner,Greater Melbourne,0.8496,6607.0,9393.206258487895,11473.126308433386,13288.111389891332,5304.599999999999,7830.48,6315.0,9322.0,0.2214281250415462,0.4146512941610241,0.4761678543151229,0.47616785431512265,2.220446049250313e-16,0.84,1.7707661762409788,True,True,6230.0,33.0,63173.0,91019.0,0.2328604047540055,1.44078957782597,True,11056.033731741873,True,0,0,0,0,0,0
17670415,SOUTHBANK,3006,-37.82571,144.96338,750.0,3000.0,"Friday, 15 August 2025",2025-07-15,55.0,2.0,2.0,1.0,2025-09-09 06:53:58,19.0,0.0,1.0,False,Apartment / Unit / Flat,Apartment,Apartment / Unit / Flat,2025-08-15,Friday,0,1,206041509,Southbank - East,True,0.8852703054694437,1.57375,4.487666666666667,0.8803900223026813,1.353011009863817,Flinders Street Railway Station,1,8,0.30530001952356633,Victorian College Of The Arts Secondary School,2,12,0.04037885301338694,0.1845747011116658,Boyd Community Park,16,37,0.6541154326795332,Southgate,Melbourne City,Melbourne - Inner,Greater Melbourne,0.804,16506.0,21061.41559343084,23888.780132861495,26146.223089919582,12192.6,15489.599999999999,14515.0,18440.0,0.13424380364596789,0.2414276226558445,0.2704099207716155,0.2704099207716155,0.0,0.8400000000000001,1.7273933035965126,True,True,16279.0,31.0,60608.0,73578.0,0.2930534220856802,1.213998152059134,True,26195.790539093083,True,1,0,1,1,0,0
